AB de Villiers
AC Gilchrist
AJ Finch
AL Menaria
A Mishra
AM Rahane
AT Rayudu
BB McCullum
B Chipli
BJ Hodge
CH Gayle
DA Warner
DB Ravi Teja
DH Yagnik
DJ Hussey
DJ Jacobs
DPMD Jayawardene
DT Christian
EJG Morgan
G Gambhir
Harbhajan Singh
JA Morkel
J Botha
JH Kallis
JP Duminy
KA Pollard
KD Karthik
LRPL Taylor
MA Agarwal
MC Juneja
MD Mishra
MEK Hussey
MK Tiwary
M Manhas
M Morkel
MR Marsh
MS Dhoni
M Vijay
NLTC Perera
NV Ojha
PC Valthaty
RA Jadeja
R Dravid
RG Sharma
R McLaren
R Sharma
RT Ponting
RV Uthappa
S Anirudha
S Dhawan
SR Tendulkar
STR Binny
Sunny Singh
TM Dilshan
UBT Chand
V Kohli
V Sehwag
VVS Laxman
YK Pathan
Yuvraj Singh
Y Venugopal Rao
